"GEOID","NAME","variable","estimate","moe","Year"
"36","New York","B01003_001",19302448,NA,2011
"37","North Carolina","B01003_001",9418736,NA,2011
"38","North Dakota","B01003_001",666783,NA,2011
"39","Ohio","B01003_001",11525536,NA,2011
"40","Oklahoma","B01003_001",3714520,NA,2011
"41","Oregon","B01003_001",3801991,NA,2011
"42","Pennsylvania","B01003_001",12660739,NA,2011
"44","Rhode Island","B01003_001",1053959,NA,2011
"45","South Carolina","B01003_001",4575864,NA,2011
"46","South Dakota","B01003_001",807697,NA,2011
"47","Tennessee","B01003_001",6297991,NA,2011
"48","Texas","B01003_001",24774187,NA,2011
"49","Utah","B01003_001",2715379,NA,2011
"50","Vermont","B01003_001",624958,NA,2011
"51","Virginia","B01003_001",7926192,NA,2011
"53","Washington","B01003_001",6652845,NA,2011
"54","West Virginia","B01003_001",1846372,NA,2011
"55","Wisconsin","B01003_001",5664893,NA,2011
"56","Wyoming","B01003_001",554697,NA,2011
"72","Puerto Rico","B01003_001",3742586,NA,2011
"01","Alabama","B01003_001",4777326,NA,2012
"02","Alaska","B01003_001",711139,NA,2012
"04","Arizona","B01003_001",6410979,NA,2012
"05","Arkansas","B01003_001",2916372,NA,2012
"06","California","B01003_001",37325068,NA,2012
"08","Colorado","B01003_001",5042853,NA,2012
"09","Connecticut","B01003_001",3572213,NA,2012
"10","Delaware","B01003_001",900131,NA,2012
"11","District of Columbia","B01003_001",605759,NA,2012
"12","Florida","B01003_001",18885152,NA,2012
"13","Georgia","B01003_001",9714569,NA,2012
"15","Hawaii","B01003_001",1362730,NA,2012
"16","Idaho","B01003_001",1567803,NA,2012
"17","Illinois","B01003_001",12823860,NA,2012
"18","Indiana","B01003_001",6485530,NA,2012
"19","Iowa","B01003_001",3047646,NA,2012
"20","Kansas","B01003_001",2851183,NA,2012
"21","Kentucky","B01003_001",4340167,NA,2012
"22","Louisiana","B01003_001",4529605,NA,2012
"23","Maine","B01003_001",1329084,NA,2012
"24","Maryland","B01003_001",5785496,NA,2012
"25","Massachusetts","B01003_001",6560595,NA,2012
